"","x"
"848",114522005.156985
"849",113212760.432742
"850",112220475.448795
"851",107637024.303419
"852",109978242.419733
"853",114751059.650441
"854",128667668.131718
"855",114103066.638128
"856",109606441.461388
"857",112657665.171507
"858",122522719.175096
"859",113868848.328222
"860",134380275.754595
"861",108036096.152591
"862",109756233.426833
"863",105247491.965399
"864",146659094.44924
"865",111391223.114854
"866",127724297.441945
"867",114773346.708269
"868",112835052.042219
"869",106634344.250881
"870",103516288.984688
"871",128580706.654204
"872",97356320.376541
"873",105151407.631551
"874",110500376.661821
"875",124336741.714425
"876",113227386.032742
"877",116164671.43811
"878",122425819.565504
"879",102366992.107527
"880",113725844.368762
"881",110544258.984922
"882",102754448.913858
"883",109270711.591048
"884",100937361.329977
"885",111531285.177678
"886",118127583.440059
"887",95523408.3109228
"888",112971650.427224
"889",100402544.331624
"890",111193662.50983
"891",105224311.621943
"892",125691806.374754
"893",98662283.7759148
"894",103443390.429329
"895",111807430.017399
"896",99540796.9218226
"897",114715357.321304
"898",131402931.26633
"899",114478335.48936
"900",114968653.459172
"901",109850662.026298
"902",113259296.208308
"903",162794764.432835
"904",120310861.990183
"905",106320266.658285
"906",98196706.2809748
"907",115294235.423532
"908",120599157.999226
"909",103807001.988335
"910",113818357.614684
"911",111063302.267382
"912",113927204.421944
"913",191884698.423292
"914",110762836.057976
"915",100956321.990505
"916",102019612.233216
"917",99502980.1937025
"918",123949112.545465
"919",100257870.917883
"920",108490926.053536
"921",121065014.893426
"922",112167182.640406
"923",97844626.1857425
"924",114522267.334743
"925",131660087.43939
"926",97420420.3123724
"927",126929638.684558
"928",105916812.460772
"929",134662286.283949
"930",112582735.888649
"931",106103892.051229
"932",123738984.784417
"933",118046975.621259
"934",107950875.393487
"935",137390356.245396
"936",106608068.037082
"937",116939206.724345
"938",125164564.28136
"939",102153831.990858
"940",107371443.403689
"941",87647068.8667051
"942",107689860.065557
"943",99166146.7814637
"944",110953271.553684
"945",138440958.243818
"946",110913116.026886
"947",130576106.820305
"948",98390131.653185
"949",107387436.047355
"950",109418814.871541
"951",140978768.69644
"952",112419498.345067
"953",112507588.669241
"954",111360653.169399
"955",105274446.630354
"956",119769417.453072
"957",115428357.028108
"958",105718350.935891
"959",109026885.022186
"960",112036417.664876
"961",98274033.9971553
"962",147568616.97759
"963",110062602.898184
"964",114117680.272302
"965",118150266.907514
"966",103877182.45208
"967",105907037.662366
"968",120681864.549689
"969",125051176.794188
"970",103885261.265926
"971",109169347.421464
"972",110640810.625145
"973",97328041.5133323
"974",111897742.362516
"975",101810460.65335
"976",113653829.413668
"977",106134849.076724
"978",128606808.81773
"979",100350430.133161
"980",112436557.33421
"981",100833016.097849
"982",109300417.384622
"983",112017176.734994
"984",132439568.995301
"985",114210907.038486
"986",112467209.52422
"987",98929055.1499398
"988",119393380.021401
"989",105421420.473223
"990",119187224.284872
"991",106231480.76161
"992",108662252.862004
"993",100395787.737921
"994",103159566.401493
"995",97558100.0948254
"996",125669406.556335
"997",102877542.087123
"998",107223803.079967
"999",101795993.861441
"1000",115823097.946939
"1001",112774097.526966
"1002",96857159.2574987
"1003",111449921.061878
"1004",116196552.320956
"1005",111407108.228295
"1006",120853784.873814
"1007",111365680.629567
"1008",111118190.898425
"1009",119580780.669451
"1010",114516598.01791
"1011",114009038.30524
"1012",112363656.986387
"1013",205135730.613825
"1014",108861509.7542
"1015",99509821.3207835
"1016",106271988.210726
"1017",104334931.882574
"1018",111067252.847189
"1019",106922055.938899
"1020",107268897.345353
"1021",118162403.333277
"1022",109529947.576144
"1023",109313441.310013
"1024",95776217.2735746
"1025",109435438.259215
"1026",105716326.268524
"1027",115248873.826896
"1028",118437859.722043
"1029",106891586.493073
"1030",113353588.647256
"1031",127801095.983996
"1032",236499223.14983
"1033",106293961.597116
"1034",101758490.312392
"1035",99489407.3372576
"1036",109095121.473483
"1037",105241377.429176
"1038",106553331.970233
"1039",129373855.950626
"1040",105645026.876391
"1041",111082532.373026
"1042",116445066.719104
"1043",115506211.00535
"1044",112529073.450402
"1045",111551445.899135
"1046",105623873.813811
"1047",98585738.8809988
"1048",117715462.735897
"1049",124296788.012156
"1050",128918914.401944
"1051",95449297.3528381
"1052",103486756.478024
"1053",109136304.517646
"1054",112973572.875335
"1055",117462671.817082
"1056",94942189.097571
"1057",102853917.151159
"1058",106364153.941887
"1059",100267942.415186
"1060",112868939.796944
"1061",99834395.3375432
"1062",113491106.075892
"1063",109364628.173118
"1064",125969823.699782
"1065",114050485.038122
"1066",103611471.007117
"1067",117502884.720758
"1068",112941530.618553
"1069",114357117.530643
"1070",101262504.784039
"1071",109739810.640898
"1072",116413128.23757
"1073",94248959.1876901
"1074",105800969.975562
"1075",121737064.971319
"1076",128282686.271136
"1077",112070359.919894
"1078",93682683.9083298
"1079",172080270.059323
"1080",114455909.925599
"1081",116026626.901195
"1082",103596645.332707
"1083",98440722.8900694
"1084",126995439.432166
"1085",124832242.700752
"1086",114174291.359715
"1087",101214100.285954
"1088",108369400.070222
"1089",107840643.132091
"1090",111939536.365044
"1091",97133573.1809816
"1092",102598569.288524
"1093",126799636.671078
"1094",98737671.030553
"1095",121856706.35852
"1096",119746776.952486
"1097",129354165.89795
"1098",116960423.36904
"1099",116208312.778453
"1100",114527494.802214
"1101",105274664.560227
"1102",102486778.750273
"1103",105017424.41748
"1104",158823789.156253
"1105",111868749.043837
"1106",115243169.956791
"1107",88907973.5866348
"1108",114535851.480446
"1109",124286420.665516
"1110",114444579.445367
