"","x"
"406",112472925.745998
"407",97760035.9201879
"408",104016003.60959
"409",146863082.516186
"410",96469622.3347858
"411",142139742.632233
"412",110254020.212426
"413",104589332.200344
"414",104399629.519302
"415",99075962.2943235
"416",106896738.922819
"417",124581412.391172
"418",106895737.781728
"419",117895272.576376
"420",115943635.903116
"421",90727583.0843192
"422",115997706.28196
"423",115117575.882953
"424",105434362.731603
"425",122602295.713236
"426",111127175.413371
"427",114755004.983465
"428",113919329.811427
"429",108767139.224969
"430",104301947.250731
"431",117455781.307788
"432",103310887.1896
"433",117769049.198397
"434",103936835.236871
"435",103131737.887445
"436",119904700.77318
"437",111433879.227954
"438",115022673.73549
"439",112945147.94003
"440",118092572.886703
"441",109028391.760298
"442",97176637.3875048
"443",111090348.792301
"444",119316423.889265
"445",113168993.034286
"446",103095953.910304
"447",117156012.72914
"448",113929030.674275
"449",114584563.780897
"450",104026699.460014
"451",133149609.256239
"452",117006833.758719
"453",99734296.8335318
"454",99116479.9411135
"455",106064391.538185
"456",99188534.9297421
"457",110485490.828951
"458",104773962.165836
"459",103062358.254703
"460",110507100.929057
"461",102922748.096983
"462",106820251.754994
"463",103013991.695515
"464",102568826.004314
"465",121945441.995396
"466",106265823.205687
"467",112172892.24146
"468",112265900.022192
"469",105385948.445442
"470",110471997.719888
"471",109475184.140547
"472",123068462.031496
"473",117849863.160077
"474",119386639.982695
"475",108610000.559421
"476",109860356.867411
"477",107744402.531996
"478",97680317.5316761
"479",94911834.892068
"480",118775060.915793
"481",109035956.673506
"482",107924290.683575
"483",104933674.610635
"484",100915154.38678
"485",102742939.949105
"486",109590181.119368
"487",122193798.182416
"488",122230865.755678
"489",120554149.780595
"490",110997399.462365
"491",99305592.9447376
"492",108709918.162065
"493",101495921.990286
"494",113780891.571335
"495",132712312.372989
"496",119943444.214067
"497",118430729.327737
"498",91236715.6266071
"499",110645429.595509
"500",111450484.481236
"501",125177898.026465
"502",124197002.599822
"503",101409241.599061
"504",118722062.815
"505",192349752.160355
"506",107962011.322177
"507",105164000.644469
"508",112009220.857651
"509",107290345.874103
"510",107810808.606143
"511",97870512.7059893
"512",108835548.272385
"513",97623033.552555
"514",102857627.206471
"515",121014272.759371
"516",108191383.877361
"517",92199203.6615296
"518",134004716.018352
"519",119516634.98791
"520",119856176.688421
"521",118147571.888807
"522",103658608.955713
"523",107069423.641979
"524",119625391.331489
"525",105719314.58675
"526",115544213.475228
"527",116283848.993821
"528",123125055.431421
"529",120532445.942875
"530",128911987.515064
"531",118685900.791479
"532",114866971.514616
"533",110846265.9715
"534",129389867.42309
"535",94861440.7846265
"536",120086525.907451
"537",110525917.595357
"538",132827621.272747
"539",94524612.9136615
"540",127071607.020983
"541",103011023.265541
"542",130947326.461344
"543",94062688.9522772
"544",111726183.827312
"545",131471889.593073
"546",106172127.797542
"547",114173803.626019
"548",112601047.658318
"549",128748231.083839
"550",99134354.4905387
"551",148577738.005495
"552",111466608.62008
"553",112583360.672877
"554",123418329.037391
"555",105794243.298049
"556",113301889.269937
"557",111016016.000118
"558",105637207.338762
"559",107873932.674199
"560",110851796.26215
"561",122966559.016187
"562",108374505.628087
"563",110270550.211524
"564",110240961.542483
"565",89341939.4496507
"566",113747406.103678
"567",122463039.161895
"568",109898555.272321
"569",104305599.155373
"570",111219388.041258
"571",118652389.586165
"572",133171645.909603
"573",101783674.892614
"574",113271920.447207
"575",111055209.129284
"576",120425464.172043
"577",130402703.089252
"578",95978005.5463643
"579",139309916.303904
"580",108881950.014641
"581",108281491.415581
"582",126258602.999304
"583",106517310.729436
"584",117508879.406901
"585",115049305.848272
"586",110684766.000776
"587",103344324.356869
"588",105635801.526479
"589",107810686.845371
"590",111244007.766666
"591",112337107.676757
"592",103710920.671252
"593",103964121.445081
"594",117081645.614679
"595",110388528.09143
"596",101964297.540907
"597",137898761.877297
"598",109926985.275346
"599",109779554.184524
"600",120084899.968538
"601",101107853.405308
"602",101788489.533566
"603",91070939.9189279
"604",103661262.050191
"605",111721158.790258
"606",105674539.688232
"607",120422374.908828
"608",99335718.869899
"609",96650083.0653106
"610",112641206.165098
"611",118443447.486622
"612",112634108.172667
"613",97202155.2997668
"614",102703454.902808
"615",102856512.61293
"616",104553251.82562
"617",99634616.6048325
"618",98823359.2375504
"619",117011542.010749
"620",109914599.989059
"621",117166887.569397
"622",100355565.958234
"623",100529597.79773
"624",132678313.978569
"625",110037386.228927
"626",112645699.283415
"627",104303120.429615
"628",133688106.679587
"629",107208117.221228
"630",111938044.302203
"631",119025246.35089
"632",103289505.776703
"633",105850914.046199
"634",112269817.517407
"635",127679310.984931
"636",107652377.47325
"637",114090012.405024
"638",105478169.716351
"639",99808326.2822132
"640",124171305.790325
"641",100729649.862652
"642",110241849.119511
"643",96423938.8072253
"644",118060550.82087
"645",110735529.028983
"646",103390844.343402
"647",188568856.635518
"648",103424790.317103
"649",108453776.549049
"650",112175605.820241
"651",102713357.851457
"652",101491748.595097
"653",113349200.304093
"654",107190894.654394
"655",98980679.5678975
"656",105259534.042461
"657",109212852.109053
"658",107321067.478527
"659",105341347.004492
"660",102786666.909094
"661",99734614.1989213
"662",102096459.644462
"663",110857864.45079
"664",156747821.771263
"665",125744645.845418
"666",106924384.645528
"667",127728910.63963
"668",102200110.54136
"669",99431917.2719638
"670",112967003.367493
"671",111550321.574866
"672",120788140.132069
"673",117399240.257784
"674",108328788.424817
"675",106663040.324476
"676",106033802.759514
"677",112708930.487836
"678",119365137.487208
"679",115972336.246093
"680",125533320.641489
"681",110661882.691763
"682",88680538.5086805
"683",106079494.241423
"684",100856804.908975
"685",107106095.302863
"686",99148605.0938654
"687",110556993.843512
"688",93459565.2248435
"689",110048821.593755
"690",114035277.785425
"691",101786794.506713
"692",181599278.866257
"693",115323748.2049
"694",113346003.389201
"695",106072836.622836
"696",140982550.470347
"697",116654474.035312
"698",106299849.494114
"699",106568481.06192
"700",108590380.99053
"701",121413352.2011
"702",105299442.754084
"703",114576441.480711
"704",109741300.759223
"705",125984297.221422
"706",110056473.859185
"707",130595501.308402
"708",104631623.403333
"709",97989288.9945161
"710",109302923.716512
"711",125822310.997815
"712",108531704.813564
"713",151926851.560156
"714",114049122.753594
"715",100078353.711405
"716",113459251.661671
"717",216532972.164645
"718",114123369.756639
"719",112535143.254244
"720",112354750.859828
"721",104949258.209018
"722",126214374.406809
"723",127351119.26256
"724",97048240.9450759
"725",117903823.822668
"726",99812538.8640226
"727",122655190.042487
"728",110807585.273761
"729",109028346.923418
"730",115383224.057732
"731",96772939.5817468
"732",107086090.673016
"733",131645474.601353
"734",123740946.743046
"735",95562214.3781003
"736",110995270.941719
"737",103691271.293464
"738",103476057.75115
"739",101959339.187262
"740",107785681.825272
"741",127378325.285169
"742",117412507.679643
"743",123288498.421582
"744",103758971.184685
"745",142080367.453415
"746",111360771.206918
"747",99467797.3563182
"748",109699528.655716
"749",112903880.234705
"750",131309095.658466
"751",106970909.384446
"752",130180596.057595
"753",94786727.7248993
"754",136475619.502802
"755",95864084.0392629
"756",112624088.086862
"757",117082227.935657
"758",104900711.318304
"759",113319288.704017
"760",106414656.15771
"761",106903665.132014
"762",99947396.4711262
"763",127709573.256079
"764",123128337.10007
"765",122813293.269229
"766",105156650.446006
"767",103568421.681755
"768",112402183.071819
"769",97397575.2748044
"770",95361935.5897091
"771",102749602.975185
"772",106518691.389494
"773",101114053.639832
"774",112499903.097131
"775",112518749.88291
"776",132404645.126544
"777",108453788.9957
"778",123637384.279237
"779",101550458.461973
"780",107799668.14436
"781",106474291.241753
"782",130438061.556547
"783",96930782.6931847
"784",121218956.267765
"785",116171200.685495
"786",122358414.364486
"787",146277534.721763
"788",105815745.630299
"789",104040173.560281
"790",107224383.134379
"791",119402485.72831
"792",107499630.914584
"793",113714343.989334
"794",108763045.945288
"795",130015175.992391
"796",102986849.764465
"797",158683976.727624
"798",102173877.021127
"799",111498776.974477
"800",124586591.407793
"801",109039341.396591
"802",161325928.404502
"803",92022689.5313575
"804",111172695.709306
"805",121295609.907693
"806",122410846.209593
"807",124181962.751282
"808",117816015.666361
"809",114184516.661581
"810",156467647.110409
"811",104253041.065555
"812",112915844.357509
"813",115520198.228542
"814",103048992.417512
"815",105510123.875265
"816",109233302.441301
"817",110330626.038351
"818",101988644.594622
"819",117956722.000214
"820",105712059.298354
"821",118690235.380601
"822",103540606.132914
"823",95539923.1753015
"824",112498294.114055
"825",103115272.868797
"826",122810097.203649
"827",101492630.228485
"828",108838924.981458
"829",138942095.190533
"830",108576895.377094
"831",113337556.139159
"832",122899960.262316
"833",120214031.628446
"834",107414123.069088
"835",109432455.266557
"836",105657792.828548
"837",95438166.2000128
"838",132553768.953564
"839",160030880.680103
"840",105346807.131894
"841",112503714.475877
"842",105112476.252728
"843",122558577.198648
"844",105638786.894802
"845",109903541.374607
"846",101252523.118823
"847",119957962.176318
"848",128117237.179307
"849",105863765.952586
"850",120526434.648307
"851",115825420.849213
"852",116451584.452819
"853",112604323.785632
"854",101127153.180049
"855",124936576.574366
"856",112901639.054395
"857",101928501.991667
"858",109626225.164598
"859",93980529.0680678
"860",110094323.253502
"861",115729487.715578
"862",115404259.103489
"863",105812610.941693
"864",119225492.402039
"865",121957188.955014
"866",251112032.09275
"867",103361546.101901
"868",96707114.5255392
"869",116036916.191635
"870",106179822.160567
"871",102884700.73233
"872",106877285.86217
"873",122784169.397364
"874",115045514.923997
"875",119174532.625159
"876",110481941.190596
"877",126546866.018698
"878",105264796.793943
"879",166739043.885213
"880",119386493.927313
"881",116849667.206063
"882",110599129.160751
"883",120817073.923818
"884",92815519.6946151
"885",107939167.075137
"886",109821438.92363
"887",107930768.657701
"888",112540456.549049
"889",105657579.841934
"890",110033543.332709
"891",101320672.345397
"892",100702556.435537
"893",118594358.760501
"894",115467109.528883
"895",97920897.7121182
